company,headline,sentiment
Proctor Gamble Corporation,"Reuters
Tide maker P&G misses earnings, forecasts lower growth as consumers 'scrimp'
Procter & Gamble Co delivered quarterly earnings that missed estimates on Friday and forecast lower sales growth, citing surging transportation and...
.
29 Jul 2022",-0.3182
Proctor Gamble Corporation,"CNBC
Procter & Gamble price hikes boost revenue while Gillette write-down weighs on earnings
Procter & Gamble on Tuesday reported mixed quarterly earnings and revenue for its fiscal second quarter. The company narrowed its outlook for full-year...
.
23 Jan 2024",0.4019
Proctor Gamble Corporation,"The Business Journals
Procter & Gamble unveils plans for $500 million manufacturing facility in Arizona
The Cincinnati, Ohio-based consumer goods giant plans to build a manufacturing plant across more than 400 acres about an hour from Phoenix.
.
11 Nov 2022",0.0
Proctor Gamble Corporation,"Yahoo Finance
Procter & Gamble Company (The) (PG) Is a Trending Stock: Facts to Know Before Betting on It
P&G (PG) has received quite a bit of attention from Zacks.com users lately. Therefore, it is wise to be aware of the facts that can impact the stock's...
.
23 Dec 2024",0.4767
Proctor Gamble Corporation,"MarketScreener
Procter & Gamble Company: A winning strategy -April 22, 2024 at 09:10 am EDT
P&G, which published excellent quarterly results last Friday, including a 4.8% rise in earnings per share compared with the same period last year, has thus...
.
22 Apr 2024",0.8519
Proctor Gamble Corporation,"Insider Monkey
Is The Procter & Gamble Company (PG) the Best Dividend Stock for Steady Income?
The company currently pays a quarterly dividend of $1.0065 per share and has a dividend yield of 2.40%, as of December 20.
.
21 Dec 2024",0.7506
Proctor Gamble Corporation,"Microsoft
P&G and Microsoft co-innovate to build the future of digital manufacturing
CINCINNATI and REDMOND, Wash. — June 8, 2022 — On Wednesday, The Procter & Gamble Company (NYSE: PG) (P&G) and Microsoft Corp. announced a new multiyear...
.
8 Jun 2022",0.0
Proctor Gamble Corporation,"Forbes
A Discussion With P&G's Chief Sustainability Officer
I recently sat down with Virginie Helias, Chief Sustainability Officer at Procter & Gamble, to talk about the evolution of partnerships to help solve the...
.
4 Jun 2023",0.5423
Proctor Gamble Corporation,"Insider Monkey
Procter & Gamble Company (PG): A Good Hair Care Stock To Consider Buying Now
Procter & Gamble is in an excellent spot to satisfy rising consumer demand and provide value to shareholders because of its commitment to innovation,...
.
23 Sept 2024",0.946
Proctor Gamble Corporation,"Beauty Packaging
Procter & Gamble Is #4 On Our Top Global Beauty Companies 2024 Report
P&G's Moeller said they remain committed to an 'integrated strategy of a focused product portfolio of daily use categories, where performance drives brand...
.
17 Oct 2024",0.9201
Proctor Gamble Corporation,"Reuters
P&G ending new capital investments, reducing portfolio in Russia
Procter & Gamble Co (PG.N) is ending all new capital investments in Russia and significantly reducing its portfolio to focus on basic hygiene, health and...
.
7 Mar 2022",0.0
Proctor Gamble Corporation,"Mint
Procter & Gamble Health Q1 Results Live: Profit Rise by 25.56% YOY | Company Business News
Procter & Gamble Health declared their Q1 results on November 4, 2024, showcasing a topline increase of 2.78% year-over-year, with profits soaring by 25.56%.
.
6 Nov 2024",0.7964
Proctor Gamble Corporation,"Biz New Orleans
Procter & Gamble Announce $96.7M Investment in Louisiana Facility
ALEXANDRIA, La. – Procter & Gamble (P&G), the American multinational consumer goods corporation headquartered in Cincinnati, is investing $96.7.
.
19 Sept 2024",0.0
Proctor Gamble Corporation,"CIO
P&G turns to AI to create digital manufacturing of the future
The consumer goods multinational company, with help from Microsoft, is adopting the industrial internet of things, digital twin, AI, and machine learning to...
.
30 Sept 2022",0.5859
Proctor Gamble Corporation,"ZAWYA
Dubai's new era in FMCG: DET and P&G's pioneering partnership
The Dubai Department of Economy and Tourism (DET) has signed a landmark partnership with multinational consumer goods corporation The Procter & Gamble Company...
.
27 Dec 2023",0.0772
Proctor Gamble Corporation,"Reuters
P&G posts surprise sales drop as demand slows despite price restraint
Procter & Gamble posted a surprise drop in fourth-quarter sales, as the company's efforts to reel in years of steep price hikes failed to win over...
.
30 Jul 2024",0.0
Proctor Gamble Corporation,"Statista
Procter & Gamble (P&G) revenue 2012-2024
Leading personal care company Procter & Gamble's sales have seen an upward trend in the last few years, peaking in the fiscal year 2023.
.
7 Nov 2024",0.4939
Proctor Gamble Corporation,"Reuters
P&G raises sales forecast on price hikes, sees volumes fall
Tide detergent maker Procter & Gamble Co raised its full-year sales forecast on Thursday and said it plans to continue raising prices despite a drop in...
.
19 Jan 2023",0.2057
Proctor Gamble Corporation,"MarketBeat
The Procter & Gamble Company (NYSE:PG) Shares Purchased by Concurrent Investment Advisors LLC
Procter & Gamble Stock Performance. Shares of Procter & Gamble stock traded down $4.77 during midday trading on Wednesday, hitting $160.99. The company had a...
.
6 Nov 2024",0.5267
Proctor Gamble Corporation,"Yahoo Finance
Why The Procter & Gamble Company (PG) is the Best Cleaning Materials Stock to Invest in Now
Let's look at where The Procter & Gamble Company (PG) stands against other cleaning materials stocks to invest in now.
.
28 Oct 2024",0.6369
Proctor Gamble Corporation,"MBASkool
Procter and Gamble (P&G) Porter Five Forces Analysis
Porter's Five Forces Analysis of Procter and Gamble (P&G) covers the company's competitive landscape as well as the factors affecting its sector.
.
17 Apr 2023",0.4215
