,Open,High,Low,Close,Volume
2022-08-26,64.73,64.8,62.98,63.11,10089513.0
2022-08-29,62.685,63.025,62.41,62.73,8972384.0
2022-08-30,62.91,62.91,61.9937,62.15,8456837.0
2022-08-31,62.38,62.53,61.7,61.71,14633568.0
2022-09-01,61.58,62.04,61.29,62.0,14939684.0
2022-09-02,62.39,62.77,60.895,61.15,11809821.0
2022-09-06,61.29,61.965,60.99,61.18,12166862.0
2022-09-07,61.32,62.49,61.32,62.31,13290711.0
2022-09-08,62.08,62.3,61.34,62.12,17193460.0
2022-09-09,62.17,62.88,61.855,62.32,11855886.0
2022-09-12,62.43,62.81,62.27,62.5,13026935.0
2022-09-13,62.2,62.22,60.28,60.47,18532832.0
2022-09-14,60.64,61.08,60.44,60.79,12881592.0
2022-09-15,60.4,60.4,59.36,59.53,11451927.0
2022-09-16,59.66,59.795,59.11,59.54,20493535.0
2022-09-19,59.39,60.1,59.225,59.99,12596248.0
2022-09-20,59.68,60.03,59.315,59.9,11984607.0
2022-09-21,60.14,60.7,59.39,59.4,14165341.0
2022-09-22,59.55,59.73,59.2,59.26,11380964.0
2022-09-23,58.96,59.1,58.0,58.6,14824047.0
2022-09-26,58.49,58.57,57.685,57.87,18670050.0
2022-09-27,58.08,58.37,56.31,56.38,23829348.0
2022-09-28,56.66,57.25,55.91,56.98,21480149.0
2022-09-29,57.09,57.29,56.0,56.57,14570701.0
2022-09-30,56.87,57.13,56.0,56.02,16124618.0
2022-10-03,56.36,56.85,56.06,56.65,16277620.0
2022-10-04,56.95,57.81,56.46,56.78,18861431.0
2022-10-05,56.5,56.65,55.51,56.24,14324851.0
2022-10-06,56.0,56.1,54.87,55.03,17192843.0
2022-10-07,54.99,55.09,54.25,54.51,11479799.0
2022-10-10,54.6,54.96,54.015,54.39,10239123.0
2022-10-11,54.46,55.22,54.24,54.48,14303920.0
2022-10-12,55.23,56.0365,55.04,55.14,18377448.0
2022-10-13,54.48,56.08,54.26,55.87,16220718.0
2022-10-14,56.29,56.47,54.94,54.98,16001400.0
2022-10-17,55.63,56.215,55.57,55.69,13721426.0
2022-10-18,56.31,56.78,56.1009,56.44,11823119.0
2022-10-19,56.31,56.54,55.73,55.96,10182286.0
2022-10-20,55.77,55.92,54.96,55.08,16905147.0
2022-10-21,55.0,56.105,54.985,55.96,15034054.0
2022-10-24,56.64,57.73,56.57,57.57,17416681.0
2022-10-25,59.04,59.11,57.75,58.95,28829930.0
2022-10-26,59.01,59.78,58.86,59.39,15841374.0
2022-10-27,59.77,59.84,59.375,59.53,16026117.0
2022-10-28,59.57,60.91,59.47,60.76,12888859.0
2022-10-31,60.51,60.57,59.67,59.85,14016378.0
2022-11-01,60.03,60.29,59.37,59.64,10659459.0
2022-11-02,59.64,60.23,58.77,58.81,14551132.0
2022-11-03,58.11,58.9972,58.1,58.78,9193970.0
2022-11-04,59.3,59.585,58.56,59.26,9726126.0
2022-11-07,59.26,59.77,59.24,59.49,8849704.0
2022-11-08,59.75,59.79,58.94,59.6,10081649.0
2022-11-09,59.59,59.64,58.751,58.77,10115159.0
2022-11-10,60.25,61.04,59.68,60.88,16804845.0
2022-11-11,61.37,61.45,60.21,61.32,18972078.0
2022-11-14,61.32,61.715,60.71,60.73,16361026.0
2022-11-15,61.13,61.45,60.0,60.63,13295839.0
2022-11-16,60.79,61.03,60.285,60.52,14199486.0
2022-11-17,60.19,60.74,60.13,60.71,11220301.0
2022-11-18,60.99,61.37,60.8,61.14,10415640.0
2022-11-21,61.41,62.21,61.2,62.08,15399353.0
2022-11-22,62.47,62.5,62.0538,62.35,12319641.0
2022-11-23,62.49,62.79,62.3008,62.63,8990385.0
2022-11-25,62.73,62.81,62.38,62.69,5165499.0
2022-11-28,62.69,63.1,62.56,62.7,12268004.0
2022-11-29,62.52,62.57,61.98,62.48,10969563.0
2022-11-30,62.01,63.68,61.75,63.61,30433938.0
2022-12-01,63.61,64.11,63.43,63.79,12001356.0
2022-12-02,63.61,64.52,63.4,64.35,13643450.0
2022-12-05,63.41,63.795,63.26,63.47,9185090.0
2022-12-06,63.52,63.88,63.225,63.44,10099529.0
2022-12-07,63.45,63.72,63.25,63.54,12307605.0
2022-12-08,63.6,63.85,63.345,63.81,9946173.0
2022-12-09,63.61,63.84,63.09,63.14,13914856.0
2022-12-12,63.3,64.005,63.01,63.97,11647900.0
2022-12-13,64.59,64.7,63.8,63.99,17521554.0
2022-12-14,64.19,64.65,63.57,63.99,12826650.0
2022-12-15,63.59,63.89,62.49,63.11,12213292.0
2022-12-16,62.75,63.14,62.325,62.75,33631530.0
2022-12-19,62.83,63.405,62.47,62.84,10919725.0
2022-12-20,62.8219,63.15,62.75,62.79,10286479.0
2022-12-21,63.07,64.05,63.07,63.8,10411288.0
2022-12-22,63.42,63.59,62.645,63.34,9668107.0
2022-12-23,63.5,63.87,63.2,63.82,6463261.0
2022-12-27,63.93,64.29,63.71,64.21,7320717.0
2022-12-28,64.46,64.65,63.485,63.57,7159417.0
2022-12-29,63.8,64.15,63.7,63.95,7169256.0
2022-12-30,63.92,63.92,63.17,63.61,7650228.0
2023-01-03,63.56,63.56,62.175,62.95,12180507.0
2023-01-04,63.15,63.3294,62.511,62.92,13387923.0
2023-01-05,62.6,62.8,62.08,62.2,9814674.0
2023-01-06,62.91,63.67,62.58,63.4,9989986.0
2023-01-09,63.3,63.72,62.575,62.61,9442623.0
2023-01-10,62.6,62.73,61.92,62.13,10134605.0
2023-01-11,62.38,62.56,61.411,62.01,10822997.0
2023-01-12,62.11,62.18,60.97,61.21,13907327.0
2023-01-13,60.7,61.46,60.585,61.43,13986356.0
2023-01-17,61.73,62.38,61.56,61.68,18327779.0
2023-01-18,61.51,61.59,59.6817,59.81,19679436.0
2023-01-19,59.725,60.64,59.705,59.72,14894455.0
2023-01-20,59.72,60.09,59.4,60.08,14237702.0
2023-01-23,60.28,60.565,60.05,60.23,12613428.0
2023-01-24,60.08,63.26,59.8,60.55,10103314.0
2023-01-25,60.2,60.94,59.885,60.93,11265844.0
2023-01-26,60.81,61.095,60.57,60.81,11884834.0
2023-01-27,60.84,60.96,60.37,60.49,14087038.0
2023-01-30,60.54,61.17,60.46,60.64,15632006.0
2023-01-31,60.98,61.34,60.51,61.32,14344379.0
2023-02-01,61.14,61.58,60.62,61.33,12535439.0
2023-02-02,60.8,61.02,59.91,60.28,16947223.0
2023-02-03,60.35,60.42,59.23,59.83,15404440.0
2023-02-06,59.79,60.34,59.72,60.17,11330897.0
2023-02-07,59.67,60.24,59.535,60.07,14922741.0
2023-02-08,59.92,59.92,59.59,59.72,11012019.0
2023-02-09,60.15,60.32,59.595,59.62,12515309.0
2023-02-10,59.72,59.9,58.88,59.62,14420655.0
2023-02-13,59.9,60.76,59.73,60.6,16191786.0
2023-02-14,60.21,60.9,59.56,59.59,20505679.0
2023-02-15,59.9,59.93,59.225,59.59,13172697.0
2023-02-16,59.23,59.82,58.95,59.22,16538284.0
2023-02-17,59.5,60.23,59.38,60.12,16814652.0
2023-02-21,59.99,60.23,59.72,59.8,14278307.0
2023-02-22,59.85,60.36,59.7539,59.98,12409562.0
2023-02-23,60.01,60.42,59.81,60.09,12222827.0
2023-02-24,59.68,59.91,59.385,59.84,9736249.0
2023-02-27,60.18,60.3,59.74,59.82,8849821.0
2023-02-28,59.7,59.7,59.14,59.51,16082218.0
2023-03-01,59.13,59.18,58.37,58.86,13275810.0
2023-03-02,58.84,59.78,58.8,59.72,11772110.0
2023-03-03,59.55,59.68,59.205,59.44,13101766.0
2023-03-06,59.26,60.375,59.215,60.36,16282678.0
2023-03-07,60.49,60.57,59.75,60.01,13961203.0
2023-03-08,60.04,60.325,59.725,60.04,10851578.0
2023-03-09,60.54,60.54,59.275,59.46,13900858.0
2023-03-10,59.7,60.14,58.99,59.21,13745841.0
2023-03-13,59.29,60.87,59.25,59.81,21956014.0
2023-03-14,60.0,60.455,59.35,60.03,19496899.0
2023-03-15,59.43,60.475,59.24,60.43,21089906.0
2023-03-16,60.09,60.335,59.7,60.3,15658974.0
2023-03-17,60.31,60.35,59.635,60.02,27351227.0
2023-03-20,60.16,60.6,59.97,60.6,12904123.0
2023-03-21,60.57,60.75,59.88,60.32,13716475.0
2023-03-22,60.4,60.87,60.03,60.05,10494213.0
2023-03-23,60.09,60.39,59.72,59.92,15478995.0
2023-03-24,60.25,61.015,59.91,60.9,12977607.0
2023-03-27,61.14,61.48,60.95,61.35,12777402.0
2023-03-28,61.39,61.74,61.27,61.42,10925739.0
2023-03-29,61.72,61.95,61.59,61.86,9441019.0
2023-03-30,61.88,62.09,61.66,61.85,9870659.0
2023-03-31,62.06,62.25,61.87,62.03,14440888.0
2023-04-03,62.3,62.52,61.86,62.4,12300660.0
2023-04-04,62.39,62.74,62.075,62.21,11433404.0
2023-04-05,62.53,63.02,62.5,62.8,12789554.0
2023-04-06,62.86,63.0399,62.38,62.84,9644204.0
2023-04-10,62.49,62.69,62.02,62.69,7952575.0
2023-04-11,62.65,62.71,62.4,62.58,9913049.0
2023-04-12,62.48,63.03,62.31,62.69,9593704.0
2023-04-13,62.76,63.16,62.48,63.15,9871424.0
2023-04-14,63.05,63.15,62.775,63.05,8946011.0
2023-04-17,63.32,63.53,63.1401,63.46,9441659.0
2023-04-18,63.51,63.6,63.19,63.56,9035679.0
2023-04-19,63.73,63.83,63.425,63.68,9769543.0
2023-04-20,63.63,64.0,63.44,63.96,10706385.0
2023-04-21,64.0,64.27,63.8,64.05,12931095.0
